Total time: 8.583711s

p[66].vx: 912.476	p[66].vy: 1835.517	p[66].vz: 1216.552

p[67].x: 192.750	p[67].y: 137.994	p[67].z: -52.844
p[67].vx: 2143.186	p[67].vy: 1534.268	p[67].vz: -587.530

p[68].x: 3.835	p[68].y: -163.284	p[68].z: -129.541
p[68].vx: 42.723	p[68].vy: -1816.291	p[68].vz: -1440.839

p[69].x: 174.444	p[69].y: -185.405	p[69].z: -28.465
p[69].vx: 1939.634	p[69].vy: -2061.452	p[69].vz: -316.736

p[70].x: 84.082	p[70].y: 155.028	p[70].z: 162.907
p[70].vx: 935.123	p[70].vy: 1723.666	p[70].vz: 1810.764

p[71].x: -86.559	p[71].y: 219.778	p[71].z: 27.440
p[71].vx: -962.079	p[71].vy: 2443.141	p[71].vz: 304.993

p[72].x: 97.922	p[72].y: 171.781	p[72].z: 99.834
p[72].vx: 1088.822	p[72].vy: 1909.846	p[72].vz: 1109.798

p[73].x: -209.448	p[73].y: -87.984	p[73].z: 35.135
p[73].vx: -2328.481	p[73].vy: -978.030	p[73].vz: 390.417

p[74].x: -174.314	p[74].y: 163.269	p[74].z: -47.159
p[74].vx: -1937.714	p[74].vy: 1814.861	p[74].vz: -524.487

p[75].x: -1.401	p[75].y: -102.325	p[75].z: 2.522
p[75].vx: -15.399	p[75].vy: -1141.399	p[75].vz: 28.027

p[76].x: -171.355	p[76].y: -136.777	p[76].z: -67.372
p[76].vx: -1905.495	p[76].vy: -1521.029	p[76].vz: -749.369

p[77].x: -28.565	p[77].y: -227.604	p[77].z: 101.408
p[77].vx: -317.340	p[77].vy: -2530.062	p[77].vz: 1126.932

p[78].x: 242.511	p[78].y: -40.265	p[78].z: 97.972
p[78].vx: 2696.316	p[78].vy: -447.580	p[78].vz: 1088.932

p[79].x: -8.422	p[79].y: -5.926	p[79].z: -4.709
p[79].vx: -88.355	p[79].vy: -61.095	p[79].vz: -33.578

p[80].x: -95.656	p[80].y: -221.408	p[80].z: -69.137
