Total time: 3.116301s

p[61].x: -3.232	p[61].y: -0.286	p[61].z: -6.917
p[61].vx: -37.292	p[61].vy: -5.330	p[61].vz: -67.343

p[62].x: 4.583	p[62].y: 14.181	p[62].z: -2.797
p[62].vx: 49.134	p[62].vy: 155.229	p[62].vz: -34.991

p[63].x: -4.893	p[63].y: -2.640	p[63].z: 6.201
p[63].vx: -54.432	p[63].vy: -28.635	p[63].vz: 63.877

p[64].x: 4.572	p[64].y: -0.584	p[64].z: -6.748
p[64].vx: 47.585	p[64].vy: -5.372	p[64].vz: -68.161

p[65].x: 1.066	p[65].y: -1.619	p[65].z: -3.256
p[65].vx: 8.343	p[65].vy: -18.104	p[65].vz: -30.785

p[66].x: -0.503	p[66].y: -4.443	p[66].z: -2.162
p[66].vx: -7.160	p[66].vy: -39.390	p[66].vz: -19.905

p[67].x: -0.959	p[67].y: -0.019	p[67].z: -1.906
p[67].vx: -13.317	p[67].vy: 4.257	p[67].vz: -19.084

p[68].x: 0.100	p[68].y: 4.246	p[68].z: -1.414
p[68].vx: -2.124	p[68].vy: 40.377	p[68].vz: -15.593

p[69].x: 2.557	p[69].y: -3.309	p[69].z: 7.034
p[69].vx: 26.868	p[69].vy: -32.660	p[69].vz: 73.412

p[70].x: -0.652	p[70].y: 4.426	p[70].z: -3.320
p[70].vx: -7.511	p[70].vy: 43.100	p[70].vz: -30.166

p[71].x: 1.225	p[71].y: -7.419	p[71].z: -2.232
p[71].vx: 12.515	p[71].vy: -73.586	p[71].vz: -22.304

p[72].x: -2.441	p[72].y: -6.313	p[72].z: 1.545
p[72].vx: -24.736	p[72].vy: -56.448	p[72].vz: 13.487

p[73].x: 8.393	p[73].y: -0.764	p[73].z: -3.228
p[73].vx: 86.393	p[73].vy: -13.274	p[73].vz: -34.262

p[74].x: 5.789	p[74].y: 0.690	p[74].z: 3.718
p[74].vx: 58.052	p[74].vy: 9.839	p[74].vz: 40.258

p[75].x: -0.629	p[75].y: 10.623	p[75].z: 1.151
p[75].vx: -4.130	p[75].vy: 108.699	p[75].vz: 11.954

p[76].x: 6.627	p[76].y: 5.002	p[76].z: 4.341
p[76].vx: 69.259	p[76].vy: 44.607	p[76].vz: 41.010

p[77].x: -3.582	p[77].y: 1.834	p[77].z: -1.642
p[77].vx: -33.522	p[77].vy: 17.275	p[77].vz: -19.834

p[78].x: -1.800	p[78].y: -1.873	p[78].z: -1.937
p[78].vx: -20.890	p[78].vy: -13.170	p[78].vz: -19.883

p[79].x: -4.552	p[79].y: -1.495	p[79].z: 3.453
p[79].vx: -44.437	p[79].vy: -13.807	p[79].vz: 32.901

p[80].x: 3.945	p[80].y: -1.170	p[80].z: -2.693
p[80].vx: 38.315	p[80].vy: -14.011	p[80].vz: -27.804

p[81].x: 1.275	p[81].y: 3.736	p[81].z: -4.445
p[81].vx: 12.833	p[81].vy: 41.729	p[81].vz: -41.666

p[82].x: -2.140	p[82].y: -5.137	p[82].z: -0.917
p[82].vx: -26.450	p[82].vy: -44.250	p[82].vz: -8.012

p[83].x: 7.437	p[83].y: -0.998	p[83].z: -3.519
p[83].vx: 76.716	p[83].vy: -8.984	p[83].vz: -37.644

p[84].x: 1.253	p[84].y: -3.860	p[84].z: -7.480
p[84].vx: 14.087	p[84].vy: -38.736	p[84].vz: -73.358

p[85].x: 5.461	p[85].y: -7.456	p[85].z: -1.231
p[85].vx: 56.994	p[85].vy: -76.304	p[85].vz: -13.957

p[86].x: -4.507	p[86].y: -3.694	p[86].z: -3.696
p[86].vx: -48.922	p[86].vy: -39.126	p[86].vz: -40.524

p[87].x: -5.561	p[87].y: 1.534	p[87].z: -3.598
p[87].vx: -52.090	p[87].vy: 13.563	p[87].vz: -36.471

p[88].x: -4.235	p[88].y: -4.167	p[88].z: 2.443
p[88].vx: -41.583	p[88].vy: -38.957	p[88].vz: 22.832

p[89].x: -3.119	p[89].y: -3.975	p[89].z: -6.363
p[89].vx: -38.259	p[89].vy: -43.206	p[89].vz: -62.584

p[90].x: -2.275	p[90].y: -1.534	p[90].z: -0.065
p[90].vx: -24.293	p[90].vy: -14.249	p[90].vz: -0.963

p[91].x: -3.836	p[91].y: -0.285	p[91].z: -3.485
p[91].vx: -34.553	p[91].vy: 0.816	p[91].vz: -33.997

p[92].x: -0.996	p[92].y: 5.503	p[92].z: -3.753
p[92].vx: -9.739	p[92].vy: 55.965	p[92].vz: -42.090

