Total time: 1.625352s

p[65].vx: 56.729	p[65].vy: -60.944	p[65].vz: -208.259

p[66].x: 0.249	p[66].y: -9.047	p[66].z: -4.757
p[66].vx: 7.967	p[66].vy: -226.246	p[66].vz: -120.249

p[67].x: -0.851	p[67].y: -0.650	p[67].z: -2.237
p[67].vx: -22.062	p[67].vy: -15.803	p[67].vz: -57.931

p[68].x: -0.111	p[68].y: 5.711	p[68].z: -3.144
p[68].vx: -4.082	p[68].vy: 147.253	p[68].vz: -81.543

p[69].x: 2.455	p[69].y: -4.330	p[69].z: 5.982
p[69].vx: 67.716	p[69].vy: -116.721	p[69].vz: 155.548

p[70].x: -0.452	p[70].y: 6.411	p[70].z: -5.840
p[70].vx: -10.281	p[70].vy: 162.745	p[70].vz: -148.070

p[71].x: 1.455	p[71].y: -7.717	p[71].z: -3.819
p[71].vx: 37.486	p[71].vy: -195.067	p[71].vz: -97.655

p[72].x: -0.745	p[72].y: -5.715	p[72].z: 4.440
p[72].vx: -21.453	p[72].vy: -146.123	p[72].vz: 115.559

p[73].x: 8.469	p[73].y: -2.499	p[73].z: -3.770
p[73].vx: 216.473	p[73].vy: -66.192	p[73].vz: -100.144

p[74].x: 2.192	p[74].y: 2.498	p[74].z: 5.001
p[74].vx: 57.340	p[74].vy: 64.485	p[74].vz: 127.359

p[75].x: -1.293	p[75].y: 9.787	p[75].z: 0.876
p[75].vx: -32.489	p[75].vy: 247.372	p[75].vz: 25.503

p[76].x: 6.372	p[76].y: -3.561	p[76].z: -0.579
p[76].vx: 160.763	p[76].vy: -94.459	p[76].vz: -15.656

p[77].x: -3.992	p[77].y: 4.625	p[77].z: -2.652
p[77].vx: -101.550	p[77].vy: 117.583	p[77].vz: -66.357

p[78].x: -2.492	p[78].y: -4.140	p[78].z: -1.071
p[78].vx: -64.379	p[78].vy: -105.274	p[78].vz: -26.981

p[79].x: -7.449	p[79].y: -2.098	p[79].z: 4.690
p[79].vx: -187.800	p[79].vy: -53.801	p[79].vz: 121.390

p[80].x: 9.895	p[80].y: -4.446	p[80].z: 0.082
p[80].vx: 250.004	p[80].vy: -111.992	p[80].vz: -3.656

p[81].x: 3.803	p[81].y: 6.189	p[81].z: -3.209
p[81].vx: 98.398	p[81].vy: 157.482	p[81].vz: -82.223

p[82].x: 0.145	p[82].y: -6.663	p[82].z: -4.231
p[82].vx: -0.484	p[82].vy: -171.647	p[82].vz: -110.123

p[83].x: 7.669	p[83].y: -1.770	p[83].z: -4.755
p[83].vx: 194.391	p[83].vy: -43.403	p[83].vz: -123.180

p[84].x: 0.056	p[84].y: -7.351	p[84].z: -3.230
p[84].vx: -2.316	p[84].vy: -185.592	p[84].vz: -78.563

p[85].x: 8.458	p[85].y: -7.963	p[85].z: -1.193
p[85].vx: 215.307	p[85].vy: -202.586	p[85].vz: -31.708

p[86].x: -5.051	p[86].y: -3.318	p[86].z: -2.172
p[86].vx: -133.889	p[86].vy: -92.856	p[86].vz: -65.299

p[87].x: -7.130	p[87].y: 1.710	p[87].z: -4.725
