Total time: 0.096150s

p[84].x: -0.059	p[84].y: -0.131	p[84].z: -0.379
p[84].vx: -0.152	p[84].vy: -27.473	p[84].vz: -48.987

p[85].x: -0.096	p[85].y: -0.294	p[85].z: 0.189
p[85].vx: 5.467	p[85].vy: -22.993	p[85].vz: 7.889

p[86].x: 0.319	p[86].y: 0.527	p[86].z: 0.420
p[86].vx: -16.618	p[86].vy: -12.219	p[86].vz: -15.393

p[87].x: 0.222	p[87].y: -0.109	p[87].z: 0.197
p[87].vx: -27.588	p[87].vy: 9.183	p[87].vz: -25.696

p[88].x: 0.135	p[88].y: -0.098	p[88].z: -0.186
p[88].vx: -13.762	p[88].vy: -42.134	p[88].vz: 2.998

p[89].x: 0.050	p[89].y: -0.002	p[89].z: 0.028
p[89].vx: -23.602	p[89].vy: -30.674	p[89].vz: -33.041

p[90].x: 0.650	p[90].y: 0.345	p[90].z: 1.492
p[90].vx: 7.900	p[90].vy: -1.047	p[90].vz: 28.248

p[91].x: -0.046	p[91].y: -0.059	p[91].z: -0.075
p[91].vx: -24.400	p[91].vy: 1.482	p[91].vz: -34.575

p[92].x: 1.000	p[92].y: -0.078	p[92].z: 0.803
p[92].vx: 18.446	p[92].vy: 28.198	p[92].vz: -0.325

p[93].x: 0.035	p[93].y: 0.007	p[93].z: -0.059
p[93].vx: 20.082	p[93].vy: -0.648	p[93].vz: 21.954

p[94].x: 1.862	p[94].y: 0.957	p[94].z: -2.143
p[94].vx: 40.555	p[94].vy: 6.044	p[94].vz: -54.703

p[95].x: -0.227	p[95].y: 0.062	p[95].z: 0.391
p[95].vx: 32.024	p[95].vy: 40.456	p[95].vz: 6.332

p[96].x: 0.214	p[96].y: -0.181	p[96].z: 0.182
p[96].vx: -9.293	p[96].vy: -33.659	p[96].vz: -23.510

p[97].x: 0.387	p[97].y: 0.655	p[97].z: 0.328
p[97].vx: -19.740	p[97].vy: -9.149	p[97].vz: -14.466

p[98].x: -0.122	p[98].y: -0.207	p[98].z: -0.053
p[98].vx: 32.037	p[98].vy: -2.620	p[98].vz: -35.575

p[99].x: -0.005	p[99].y: -0.102	p[99].z: -0.007
p[99].vx: 33.055	p[99].vy: -9.059	p[99].vz: -34.686

p[100].x: 0.028	p[100].y: -0.031	p[100].z: -0.002
p[100].vx: -33.801	p[100].vy: -35.608	p[100].vz: 13.242

p[101].x: -0.047	p[101].y: 0.060	p[101].z: 0.166
p[101].vx: -9.814	p[101].vy: 34.044	p[101].vz: 7.938

p[102].x: -0.110	p[102].y: -0.122	p[102].z: 0.032
p[102].vx: 21.055	p[102].vy: -4.359	p[102].vz: -27.469

p[103].x: -0.105	p[103].y: -0.030	p[103].z: -0.105
p[103].vx: -15.660	p[103].vy: -7.158	p[103].vz: -25.383

p[104].x: -1.062	p[104].y: -1.737	p[104].z: -0.517
p[104].vx: -39.381	p[104].vy: -37.463	p[104].vz: 10.584

p[105].x: 0.263	p[105].y: 0.153	p[105].z: 0.039
p[105].vx: -5.369	p[105].vy: -22.623	p[105].vz: -28.911

p[106].x: 0.042	p[106].y: -0.306	p[106].z: 0.110
p[106].vx: 8.714	p[106].vy: -45.084	p[106].vz: 8.563

p[107].x: -0.049	p[107].y: 0.031	p[107].z: 0.023
p[107].vx: -34.753	p[107].vy: 10.477	p[107].vz: -39.772

p[108].x: 0.935	p[108].y: -1.001	p[108].z: 0.782
p[108].vx: 3.220	p[108].vy: -7.406	p[108].vz: 0.983

p[109].x: -0.048	p[109].y: -0.088	p[109].z: -0.065
p[109].vx: 28.636	p[109].vy: 24.233	p[109].vz: 31.775

p[110].x: -1.971	p[110].y: 0.550	p[110].z: -1.020
p[110].vx: -38.300	p[110].vy: 35.072	p[110].vz: -58.670

p[111].x: 0.827	p[111].y: 1.400	p[111].z: 0.362
p[111].vx: 20.291	p[111].vy: 20.261	p[111].vz: -14.374

p[112].x: 0.124	p[112].y: 0.016	p[112].z: 0.152
p[112].vx: 15.417	p[112].vy: -18.080	p[112].vz: 2.404

p[113].x: 1.388	p[113].y: 1.276	p[113].z: 0.233
p[113].vx: 34.893	p[113].vy: 57.262	p[113].vz: 35.505

p[114].x: 0.236	p[114].y: -0.031	p[114].z: 0.158
p[114].vx: 21.286	p[114].vy: -39.297	p[114].vz: 42.433

p[115].x: -0.130	p[115].y: 0.171	p[115].z: -0.203
p[115].vx: -32.431	p[115].vy: 13.375	p[115].vz: -33.357

p[116].x: -0.068	p[116].y: -0.269	p[116].z: 0.098
p[116].vx: -40.252	p[116].vy: -17.499	p[116].vz: -11.809

p[117].x: -0.038	p[117].y: 0.233	p[117].z: -0.009
p[117].vx: -24.556	p[117].vy: 33.770	p[117].vz: -24.764

p[118].x: -0.093	p[118].y: -0.053	p[118].z: -0.281
p[118].vx: 27.481	p[118].vy: 32.454	p[118].vz: 9.473

p[119].x: 0.152	p[119].y: 0.187	p[119].z: -0.102
p[119].vx: -31.141	p[119].vy: -21.707	p[119].vz: 30.272

p[120].x: -0.044	p[120].y: 0.212	p[120].z: 0.134
p[120].vx: -18.242	p[120].vy: 44.018	p[120].vz: 7.466

p[121].x: 0.590	p[121].y: 0.092	p[121].z: 0.405
