Total time: 7.763126s

p[70].vx: 1475.462	p[70].vy: 2731.802	p[70].vz: -169.072

p[71].x: 89.833	p[71].y: 156.430	p[71].z: -14.638
p[71].vx: 998.285	p[71].vy: 1738.501	p[71].vz: -162.834

p[72].x: 78.670	p[72].y: 54.274	p[72].z: 282.628
p[72].vx: 874.582	p[72].vy: 603.344	p[72].vz: 3141.172

p[73].x: -166.580	p[73].y: -281.475	p[73].z: -164.263
p[73].vx: -1851.384	p[73].vy: -3128.119	p[73].vz: -1825.704

p[74].x: -183.088	p[74].y: 268.696	p[74].z: 48.227
p[74].vx: -2034.912	p[74].vy: 2986.398	p[74].vz: 535.924

p[75].x: 3.681	p[75].y: -151.109	p[75].z: 8.679
p[75].vx: 41.060	p[75].vy: -1682.153	p[75].vz: 96.551

p[76].x: -153.733	p[76].y: -215.017	p[76].z: -139.869
p[76].vx: -1708.993	p[76].vy: -2390.186	p[76].vz: -1554.988

p[77].x: -110.924	p[77].y: -238.855	p[77].z: 21.857
p[77].vx: -1232.643	p[77].vy: -2654.416	p[77].vz: 242.712

p[78].x: 263.254	p[78].y: -103.528	p[78].z: 84.607
p[78].vx: 2926.601	p[78].vy: -1150.753	p[78].vz: 940.496

p[79].x: -8.375	p[79].y: -5.921	p[79].z: -5.982
p[79].vx: -88.321	p[79].vy: -61.450	p[79].vz: -47.080

p[80].x: 30.781	p[80].y: -194.709	p[80].z: -122.090
p[80].vx: 342.350	p[80].vy: -2165.390	p[80].vz: -1357.857

p[81].x: 107.645	p[81].y: 19.524	p[81].z: -255.729
p[81].vx: 1196.901	p[81].vy: 217.087	p[81].vz: -2843.168

p[82].x: -5.471	p[82].y: 299.618	p[82].z: -1.248
p[82].vx: -60.620	p[82].vy: 3330.528	p[82].vz: -14.080

p[83].x: 19.512	p[83].y: 162.572	p[83].z: 291.854
p[83].vx: 216.968	p[83].vy: 1807.084	p[83].vz: 3243.819

p[84].x: -20.186	p[84].y: -11.862	p[84].z: 45.970
p[84].vx: -226.407	p[84].vy: -132.543	p[84].vz: 515.950

p[85].x: -3.554	p[85].y: 198.981	p[85].z: -39.572
p[85].vx: -39.410	p[85].vy: 2213.485	p[85].vz: -440.222

p[86].x: -25.697	p[86].y: -117.550	p[86].z: -65.681
p[86].vx: -286.042	p[86].vy: -1309.260	p[86].vz: -731.642

p[87].x: -88.489	p[87].y: 203.995	p[87].z: -216.327
p[87].vx: -983.563	p[87].vy: 2267.648	p[87].vz: -2404.868

p[88].x: -73.499	p[88].y: 136.685	p[88].z: 213.814
p[88].vx: -816.785	p[88].vy: 1519.112	p[88].vz: 2376.297

p[89].x: 17.856	p[89].y: -151.425	p[89].z: -25.468
p[89].vx: 198.993	p[89].vy: -1685.758	p[89].vz: -283.477

p[90].x: 189.113	p[90].y: -44.274	p[90].z: 190.200
p[90].vx: 2102.502	p[90].vy: -492.041	p[90].vz: 2114.511

p[91].x: -294.197	p[91].y: -84.329	p[91].z: 40.045
p[91].vx: -3269.488	p[91].vy: -937.190	p[91].vz: 444.944

p[92].x: -12.357	p[92].y: 8.973	p[92].z: -2.043
p[92].vx: -117.833	p[92].vy: 98.275	p[92].vz: -28.452

p[93].x: -204.354	p[93].y: 10.145	p[93].z: 143.608
p[93].vx: -2272.175	p[93].vy: 112.850	p[93].vz: 1596.711

p[94].x: -126.477	p[94].y: 86.887	p[94].z: 272.982
p[94].vx: -1405.730	p[94].vy: 965.793	p[94].vz: 3033.934

p[95].x: 110.650	p[95].y: 194.233	p[95].z: -144.798
p[95].vx: 1230.328	p[95].vy: 2159.717	p[95].vz: -1610.330

p[96].x: 4.621	p[96].y: 260.295	p[96].z: -136.028
p[96].vx: 51.421	p[96].vy: 2893.317	p[96].vz: -1512.310

p[97].x: -21.440	p[97].y: -18.214	p[97].z: -4.181
p[97].vx: -245.338	p[97].vy: -207.797	p[97].vz: -44.829

p[98].x: 149.130	p[98].y: -12.021	p[98].z: 163.503
p[98].vx: 1658.462	p[98].vy: -133.453	p[98].vz: 1818.432

p[99].x: -12.536	p[99].y: -47.259	p[99].z: 148.304
p[99].vx: -139.540	p[99].vy: -524.491	p[99].vz: 1648.417

p[100].x: -123.142	p[100].y: 51.945	p[100].z: 35.872
p[100].vx: -1371.145	p[100].vy: 578.924	p[100].vz: 399.402

p[101].x: -16.629	p[101].y: -266.787	p[101].z: -0.660
p[101].vx: -184.801	p[101].vy: -2966.033	p[101].vz: -7.466

p[102].x: 267.698	p[102].y: 351.521	p[102].z: 764.428
p[102].vx: 2974.164	p[102].vy: 3905.817	p[102].vz: 8494.315

p[103].x: 284.826	p[103].y: -134.119	p[103].z: -102.475
p[103].vx: 3165.652	p[103].vy: -1490.534	p[103].vz: -1139.032

p[104].x: -8.202	p[104].y: 103.931	p[104].z: -133.793
p[104].vx: -91.354	p[104].vy: 1156.527	p[104].vz: -1489.241

p[105].x: -37.847	p[105].y: 179.702	p[105].z: -161.024
p[105].vx: -421.246	p[105].vy: 1997.892	p[105].vz: -1789.963

p[106].x: 15.013	p[106].y: 258.184	p[106].z: 146.284
p[106].vx: 166.954	p[106].vy: 2869.831	p[106].vz: 1625.980

p[107].x: -124.908	p[107].y: 140.985	p[107].z: -62.216
p[107].vx: -1389.606	p[107].vy: 1568.393	p[107].vz: -691.965

p[108].x: -48.458	p[108].y: 54.996	p[108].z: -113.496
p[108].vx: -539.753	p[108].vy: 612.681	p[108].vz: -1264.401

p[109].x: 90.730	p[109].y: 93.330	p[109].z: 102.350
p[109].vx: 1009.814	p[109].vy: 1039.033	p[109].vz: 1139.238

p[110].x: -2.938	p[110].y: 124.844	p[110].z: 18.807
p[110].vx: -32.840	p[110].vy: 1390.976	p[110].vz: 209.767

p[111].x: -116.113	p[111].y: -55.727	p[111].z: 53.878
p[111].vx: -1293.034	p[111].vy: -620.535	p[111].vz: 600.153

p[112].x: -80.231	p[112].y: -44.729	p[112].z: -43.913
p[112].vx: -891.616	p[112].vy: -497.053	p[112].vz: -488.151

p[113].x: -72.903	p[113].y: -55.132	p[113].z: -207.610
p[113].vx: -810.847	p[113].vy: -613.084	p[113].vz: -2308.834

p[114].x: 113.008	p[114].y: -82.325	p[114].z: 154.375
p[114].vx: 1257.061	p[114].vy: -915.581	p[114].vz: 1717.042

p[115].x: -139.281	p[115].y: 128.188	p[115].z: 237.453
p[115].vx: -1548.024	p[115].vy: 1424.921	p[115].vz: 2639.347

p[116].x: -322.837	p[116].y: -123.675	p[116].z: 23.753
p[116].vx: -3588.234	p[116].vy: -1374.533	p[116].vz: 263.868

p[117].x: -94.495	p[117].y: 224.899	p[117].z: -74.688
p[117].vx: -1050.140	p[117].vy: 2499.748	p[117].vz: -830.135

p[118].x: 67.327	p[118].y: 117.727	p[118].z: 40.928
p[118].vx: 749.925	p[118].vy: 1311.167	p[118].vz: 455.882

p[119].x: -18.270	p[119].y: -27.188	p[119].z: 19.767
p[119].vx: -206.828	p[119].vy: -308.049	p[119].vz: 223.648

p[120].x: 148.485	p[120].y: -113.373	p[120].z: -0.950
p[120].vx: 1652.109	p[120].vy: -1261.363	p[120].vz: -10.697

p[121].x: 49.863	p[121].y: -71.493	p[121].z: -314.796
p[121].vx: 554.398	p[121].vy: -794.593	p[121].vz: -3499.118

p[122].x: -36.472	p[122].y: 161.679	p[122].z: -266.535
p[122].vx: -405.486	p[122].vy: 1797.196	p[122].vz: -2962.671

p[123].x: -62.123	p[123].y: -338.671	p[123].z: -59.637
p[123].vx: -690.157	p[123].vy: -3763.656	p[123].vz: -662.945

p[124].x: 107.581	p[124].y: -189.705	p[124].z: 202.500
p[124].vx: 1195.790	p[124].vy: -2108.088	p[124].vz: 2250.249

p[125].x: 22.512	p[125].y: -47.633	p[125].z: -41.021
p[125].vx: 251.783	p[125].vy: -533.485	p[125].vz: -459.537

p[126].x: -61.738	p[126].y: -308.881	p[126].z: -157.915
p[126].vx: -686.188	p[126].vy: -3432.781	p[126].vz: -1755.164

p[127].x: 287.887	p[127].y: -21.366	p[127].z: -5.416
p[127].vx: 3200.605	p[127].vy: -237.529	p[127].vz: -60.365

