Total time: 2.401930s

p[0].x: -4.227	p[0].y: 7.640	p[0].z: -0.369
p[464].vx: 47.220	p[464].vy: 53.566	p[464].vz: 20.038

p[465].x: 0.180	p[465].y: -5.586	p[465].z: 4.303
p[465].vx: 2.341	p[465].vy: -78.910	p[465].vz: 61.294

p[466].x: 0.958	p[466].y: -3.797	p[466].z: -2.409
p[466].vx: 18.212	p[466].vy: -61.619	p[466].vz: -38.760

p[467].x: 4.758	p[467].y: -2.953	p[467].z: -3.296
p[467].vx: 69.424	p[467].vy: -42.239	p[467].vz: -46.689

p[468].x: 1.577	p[468].y: 8.709	p[468].z: 5.113
p[468].vx: 22.424	p[468].vy: 124.210	p[468].vz: 72.891

p[469].x: 2.781	p[469].y: 0.800	p[469].z: 2.197
p[469].vx: 43.397	p[469].vy: 12.355	p[469].vz: 32.035

p[470].x: 4.653	p[470].y: -14.695	p[470].z: 8.525
p[470].vx: 64.679	p[470].vy: -207.500	p[470].vz: 124.501

p[471].x: -0.906	p[471].y: -3.747	p[471].z: 0.758
p[471].vx: -10.834	p[471].vy: -49.547	p[471].vz: 8.710

p[472].x: 0.076	p[472].y: 6.774	p[472].z: 2.224
p[472].vx: 2.332	p[472].vy: 98.958	p[472].vz: 31.528

p[473].x: -3.606	p[473].y: 4.039	p[473].z: -3.698
p[473].vx: -52.923	p[473].vy: 57.947	p[473].vz: -55.781

p[474].x: 3.384	p[474].y: 1.972	p[474].z: 3.503
p[474].vx: 49.107	p[474].vy: 31.973	p[474].vz: 52.077

p[475].x: 1.505	p[475].y: -0.563	p[475].z: 2.483
p[475].vx: 31.039	p[475].vy: -9.482	p[475].vz: 40.350

p[476].x: 0.260	p[476].y: 0.746	p[476].z: 1.544
p[476].vx: -7.336	p[476].vy: -1.519	p[476].vz: 18.626

p[477].x: -2.392	p[477].y: 2.128	p[477].z: 8.627
p[477].vx: -35.108	p[477].vy: 31.761	p[477].vz: 124.022

p[478].x: -4.153	p[478].y: 4.840	p[478].z: -6.353
p[478].vx: -58.606	p[478].vy: 68.434	p[478].vz: -90.407

p[479].x: 5.086	p[479].y: -3.533	p[479].z: 7.100
p[479].vx: 73.309	p[479].vy: -47.282	p[479].vz: 102.300

p[480].x: -8.164	p[480].y: 3.254	p[480].z: 4.653
p[480].vx: -115.930	p[480].vy: 47.519	p[480].vz: 67.948

p[481].x: -5.868	p[481].y: -5.862	p[481].z: 0.793
p[481].vx: -83.180	p[481].vy: -82.769	p[481].vz: 9.543

p[482].x: 2.818	p[482].y: -2.643	p[482].z: 4.097
p[482].vx: 41.175	p[482].vy: -37.891	p[482].vz: 57.202

p[483].x: 4.821	p[483].y: 1.962	p[483].z: 5.054
p[483].vx: 70.455	p[483].vy: 28.239	p[483].vz: 71.424

p[484].x: -3.236	p[484].y: -1.628	p[484].z: 3.145
p[484].vx: -46.068	p[484].vy: -26.188	p[484].vz: 48.717

p[485].x: -2.646	p[485].y: -2.391	p[485].z: -2.519
p[485].vx: -40.586	p[485].vy: -34.918	p[485].vz: -44.897

p[486].x: 6.082	p[486].y: 3.536	p[486].z: -5.613
p[486].vx: 88.428	p[486].vy: 50.373	p[486].vz: -81.288

p[487].x: -3.745	p[487].y: 2.394	p[487].z: 2.403
p[487].vx: -50.407	p[487].vy: 33.172	p[487].vz: 32.233

p[488].x: -1.745	p[488].y: 0.214	p[488].z: 2.677
p[488].vx: -24.568	p[488].vy: 1.069	p[488].vz: 37.033

p[489].x: 0.426	p[489].y: 1.607	p[489].z: -1.364
p[489].vx: 18.786	p[489].vy: 18.324	p[489].vz: -16.250

p[490].x: -10.755	p[490].y: -2.366	p[490].z: -7.016
p[490].vx: -153.309	p[490].vy: -35.332	p[490].vz: -101.466

p[491].x: 2.745	p[491].y: -4.114	p[491].z: 3.923
p[491].vx: 22.667	p[491].vy: -31.845	p[491].vz: 50.526

p[492].x: 6.482	p[492].y: 5.009	p[492].z: -5.896
p[492].vx: 92.146	p[492].vy: 71.276	p[492].vz: -84.114

p[493].x: -4.558	p[493].y: 3.039	p[493].z: 1.783
p[493].vx: -80.340	p[493].vy: 44.208	p[493].vz: 28.567

p[494].x: 1.612	p[494].y: -0.686	p[494].z: -3.550
p[494].vx: 29.927	p[494].vy: -18.418	p[494].vz: -46.750

p[495].x: 0.329	p[495].y: 4.982	p[495].z: -4.268
p[495].vx: 5.319	p[495].vy: 72.537	p[495].vz: -61.572

p[496].x: 4.822	p[496].y: 2.267	p[496].z: -2.015
p[496].vx: 69.296	p[496].vy: 34.966	p[496].vz: -27.120

p[497].x: -2.166	p[497].y: 4.794	p[497].z: -3.468
p[497].vx: -32.545	p[497].vy: 68.497	p[497].vz: -50.996

p[498].x: -8.098	p[498].y: -1.652	p[498].z: 1.888
p[498].vx: -113.297	p[498].vy: -22.904	p[498].vz: 26.475

p[499].x: 6.042	p[499].y: -2.263	p[499].z: 2.129
p[499].vx: 59.512	p[499].vy: -30.795	p[499].vz: 20.132

p[500].x: 0.915	p[500].y: 3.418	p[500].z: -7.397
p[500].vx: 11.479	p[500].vy: 47.397	p[500].vz: -106.103

p[501].x: -5.726	p[501].y: 2.095	p[501].z: -5.227
p[501].vx: -82.284	p[501].vy: 30.110	p[501].vz: -75.777

p[502].x: 4.267	p[502].y: 2.055	p[502].z: 3.539
p[502].vx: 61.570	p[502].vy: 31.357	p[502].vz: 51.189

p[503].x: -1.913	p[503].y: 0.793	p[503].z: 2.868
p[503].vx: -26.073	p[503].vy: 11.518	p[503].vz: 37.338

p[504].x: 0.370	p[504].y: -6.819	p[504].z: -6.801
p[504].vx: 6.493	p[504].vy: -97.618	p[504].vz: -98.587

p[505].x: -4.883	p[505].y: -3.424	p[505].z: 5.013
p[505].vx: -67.857	p[505].vy: -47.326	p[505].vz: 69.480

p[506].x: -0.017	p[506].y: 2.280	p[506].z: 1.916
p[506].vx: -7.433	p[506].vy: 17.661	p[506].vz: 33.573

p[507].x: 6.625	p[507].y: -0.799	p[507].z: -2.058
p[507].vx: 78.067	p[507].vy: -2.461	p[507].vz: -32.488

p[508].x: 0.852	p[508].y: -3.913	p[508].z: 0.617
p[508].vx: 12.673	p[508].vy: -58.289	p[508].vz: 4.380

p[509].x: -5.949	p[509].y: 6.924	p[509].z: -1.346
p[509].vx: -85.233	p[509].vy: 98.451	p[509].vz: -19.877

p[510].x: -5.587	p[510].y: -6.042	p[510].z: -3.331
p[510].vx: -79.663	p[510].vy: -84.872	p[510].vz: -48.197

p[511].x: -1.624	p[511].y: 2.605	p[511].z: -3.751
p[511].vx: -22.566	p[511].vy: 37.394	p[511].vz: -51.457

p[512].x: -9.071	p[512].y: -3.050	p[512].z: -1.459
p[512].vx: -128.479	p[512].vy: -43.626	p[512].vz: -19.879

p[513].x: -2.262	p[513].y: 6.299	p[513].z: 0.442
p[513].vx: -31.809	p[513].vy: 88.484	p[513].vz: 4.739

p[514].x: -0.153	p[514].y: 4.823	p[514].z: -5.584
p[514].vx: 0.679	p[514].vy: 71.540	p[514].vz: -79.422

p[515].x: 8.977	p[515].y: -1.321	p[515].z: -4.580
p[515].vx: 126.421	p[515].vy: -18.376	p[515].vz: -66.219

p[516].x: -1.036	p[516].y: 2.672	p[516].z: 3.628
p[516].vx: -14.056	p[516].vy: 35.786	p[516].vz: 53.266

p[517].x: -3.502	p[517].y: -3.873	p[517].z: 3.778
p[517].vx: -49.254	p[517].vy: -52.791	p[517].vz: 56.654

p[518].x: -2.512	p[518].y: 0.748	p[518].z: 3.140
p[518].vx: -34.151	p[518].vy: 7.508	p[518].vz: 48.722

p[519].x: -3.653	p[519].y: -3.755	p[519].z: 1.041
p[519].vx: -50.438	p[519].vy: -52.981	p[519].vz: 18.403

p[520].x: -5.082	p[520].y: 0.746	p[520].z: -1.330
p[520].vx: -69.736	p[520].vy: 11.507	p[520].vz: -18.465

p[521].x: -2.644	p[521].y: -2.656	p[521].z: -2.625
p[521].vx: -47.482	p[521].vy: -44.013	p[521].vz: -43.572

p[522].x: -1.672	p[522].y: -2.199	p[522].z: -1.628
p[522].vx: -36.400	p[522].vy: -37.819	p[522].vz: -27.713

p[523].x: -6.334	p[523].y: -1.744	p[523].z: -5.872
p[523].vx: -89.123	p[523].vy: -25.139	p[523].vz: -83.274

p[524].x: -1.058	p[524].y: -1.060	p[524].z: 0.088
p[524].vx: -13.418	p[524].vy: -25.716	p[524].vz: -0.171

p[525].x: -0.506	p[525].y: 0.203	p[525].z: -0.692
p[525].vx: -9.022	p[525].vy: 10.958	p[525].vz: -0.932

p[526].x: 2.677	p[526].y: -1.515	p[526].z: -1.972
p[526].vx: 36.335	p[526].vy: -12.560	p[526].vz: -20.248

p[527].x: -4.354	p[527].y: -2.063	p[527].z: -2.289
p[527].vx: -63.444	p[527].vy: -32.676	p[527].vz: -36.592

p[528].x: -0.415	p[528].y: -6.912	p[528].z: 4.047
p[528].vx: -5.604	p[528].vy: -97.291	p[528].vz: 56.740

p[529].x: 0.326	p[529].y: -3.117	p[529].z: -0.068
p[529].vx: 10.414	p[529].vy: -27.193	p[529].vz: 13.483

p[530].x: 2.893	p[530].y: 0.644	p[530].z: -6.551
p[530].vx: 28.007	p[530].vy: 11.348	p[530].vz: -81.154

p[531].x: -0.535	p[531].y: -4.582	p[531].z: 6.283
p[531].vx: -7.406	p[531].vy: -66.892	p[531].vz: 89.068

p[532].x: 6.843	p[532].y: -6.176	p[532].z: -2.607
p[532].vx: 97.238	p[532].vy: -88.451	p[532].vz: -37.805

p[533].x: -6.934	p[533].y: 5.001	p[533].z: -1.980
p[533].vx: -97.829	p[533].vy: 71.118	p[533].vz: -28.278

p[534].x: 2.258	p[534].y: -3.174	p[534].z: 7.914
p[534].vx: 32.900	p[534].vy: -45.748	p[534].vz: 111.642

p[535].x: -3.687	p[535].y: 3.589	p[535].z: 4.228
p[535].vx: -54.135	p[535].vy: 52.168	p[535].vz: 61.115

p[536].x: -6.727	p[536].y: 0.694	p[536].z: 2.950
p[536].vx: -93.750	p[536].vy: 10.669	p[536].vz: 42.533

p[537].x: 0.029	p[537].y: -0.375	p[537].z: -1.371
p[537].vx: 16.230	p[537].vy: -19.003	p[537].vz: -24.190

p[538].x: -8.214	p[538].y: -4.178	p[538].z: -0.758
p[538].vx: -116.669	p[538].vy: -59.945	p[538].vz: -11.649

p[539].x: 3.564	p[539].y: 3.526	p[539].z: -0.876
p[539].vx: 54.302	p[539].vy: 53.625	p[539].vz: -13.823

p[540].x: 1.943	p[540].y: 0.577	p[540].z: -5.897
p[540].vx: 16.218	p[540].vy: 13.462	p[540].vz: -66.206

p[541].x: -4.455	p[541].y: 7.967	p[541].z: -0.884
p[541].vx: -64.085	p[541].vy: 113.867	p[541].vz: -13.092

p[542].x: 0.171	p[542].y: 5.959	p[542].z: 5.610
p[542].vx: 2.375	p[542].vy: 86.375	p[542].vz: 80.582

p[543].x: -2.510	p[543].y: -2.655	p[543].z: -2.591
p[543].vx: -40.739	p[543].vy: -41.841	p[543].vz: -43.458

p[544].x: -1.836	p[544].y: -3.299	p[544].z: 3.115
p[544].vx: -25.261	p[544].vy: -43.336	p[544].vz: 42.227

p[545].x: 1.432	p[545].y: -1.244	p[545].z: 8.443
p[545].vx: 22.357	p[545].vy: -16.279	p[545].vz: 120.834

p[546].x: -0.528	p[546].y: 1.621	p[546].z: -1.830
p[546].vx: -5.449	p[546].vy: 26.185	p[546].vz: -29.733

p[547].x: 0.464	p[547].y: -5.224	p[547].z: -3.797
p[547].vx: 8.101	p[547].vy: -75.430	p[547].vz: -54.855

p[548].x: -3.454	p[548].y: 4.404	p[548].z: 4.246
p[548].vx: -49.489	p[548].vy: 62.671	p[548].vz: 58.723

p[549].x: -5.419	p[549].y: -0.482	p[549].z: 4.703
p[549].vx: -77.705	p[549].vy: -7.033	p[549].vz: 68.349

p[550].x: -1.097	p[550].y: 4.826	p[550].z: 10.407
p[550].vx: -15.661	p[550].vy: 69.618	p[550].vz: 149.387

p[551].x: -0.475	p[551].y: -2.554	p[551].z: -0.344
p[551].vx: -9.400	p[551].vy: -37.093	p[551].vz: -0.492

p[552].x: 3.522	p[552].y: 3.506	p[552].z: 2.768
p[552].vx: 51.470	p[552].vy: 51.957	p[552].vz: 41.722

p[553].x: 2.268	p[553].y: 1.906	p[553].z: 3.154
p[553].vx: 39.948	p[553].vy: 32.463	p[553].vz: 55.736

p[554].x: -1.647	p[554].y: 5.192	p[554].z: 0.041
p[554].vx: -23.217	p[554].vy: 73.797	p[554].vz: 0.422

p[555].x: -0.800	p[555].y: 8.916	p[555].z: 1.398
p[555].vx: -11.385	p[555].vy: 126.062	p[555].vz: 19.742

p[556].x: 2.492	p[556].y: 2.073	p[556].z: 1.886
p[556].vx: 41.599	p[556].vy: 37.232	p[556].vz: 26.622

p[557].x: 4.558	p[557].y: 1.673	p[557].z: -3.929
p[557].vx: 65.475	p[557].vy: 24.110	p[557].vz: -55.319

p[558].x: 0.140	p[558].y: 1.659	p[558].z: -0.185
p[558].vx: -1.911	p[558].vy: 24.016	p[558].vz: 0.834

p[559].x: 5.229	p[559].y: 5.112	p[559].z: 1.536
p[559].vx: 73.878	p[559].vy: 75.509	p[559].vz: 22.221

p[560].x: -1.118	p[560].y: 1.689	p[560].z: 2.213
p[560].vx: -12.392	p[560].vy: 15.375	p[560].vz: 36.106

p[561].x: -4.745	p[561].y: -3.744	p[561].z: 1.261
p[561].vx: -66.980	p[561].vy: -50.903	p[561].vz: 14.117

p[562].x: -2.256	p[562].y: -6.475	p[562].z: 1.978
p[562].vx: -32.190	p[562].vy: -91.843	p[562].vz: 27.695

p[563].x: 2.679	p[563].y: 2.160	p[563].z: 1.694
p[563].vx: 39.232	p[563].vy: 33.559	p[563].vz: 26.144

p[564].x: -5.986	p[564].y: 2.250	p[564].z: -5.801
p[564].vx: -84.753	p[564].vy: 31.853	p[564].vz: -82.649

p[565].x: 0.422	p[565].y: 3.910	p[565].z: -4.618
p[565].vx: 3.811	p[565].vy: 54.928	p[565].vz: -65.270

p[566].x: -2.435	p[566].y: -1.073	p[566].z: -2.547
p[566].vx: -40.645	p[566].vy: -25.067	p[566].vz: -35.213

p[567].x: 4.659	p[567].y: -4.450	p[567].z: 1.736
p[567].vx: 68.798	p[567].vy: -65.233	p[567].vz: 26.771

p[568].x: 4.255	p[568].y: 2.677	p[568].z: 1.021
p[568].vx: 57.736	p[568].vy: 38.407	p[568].vz: 17.562

p[569].x: -3.390	p[569].y: 2.509	p[569].z: 1.984
p[569].vx: -55.475	p[569].vy: 41.327	p[569].vz: 35.358

p[570].x: -2.489	p[570].y: -2.095	p[570].z: -3.652
p[570].vx: -35.893	p[570].vy: -28.235	p[570].vz: -50.719

p[571].x: 0.767	p[571].y: 1.318	p[571].z: -3.704
p[571].vx: 7.966	p[571].vy: 19.196	p[571].vz: -51.361

p[572].x: -1.123	p[572].y: -8.600	p[572].z: -8.335
p[572].vx: -15.866	p[572].vy: -122.600	p[572].vz: -120.495

p[573].x: -1.855	p[573].y: 14.948	p[573].z: -12.307
p[573].vx: -21.647	p[573].vy: 183.277	p[573].vz: -159.141

p[574].x: 2.591	p[574].y: -3.215	p[574].z: 2.472
p[574].vx: 46.491	p[574].vy: -53.836	p[574].vz: 45.556

p[575].x: -0.214	p[575].y: -6.062	p[575].z: 4.350
p[575].vx: -2.851	p[575].vy: -85.055	p[575].vz: 62.085

p[576].x: -3.853	p[576].y: -1.390	p[576].z: 3.966
p[576].vx: -50.890	p[576].vy: -21.127	p[576].vz: 53.388

p[577].x: 5.310	p[577].y: 4.300	p[577].z: -1.118
p[577].vx: 74.757	p[577].vy: 61.294	p[577].vz: -14.921

p[578].x: -4.828	p[578].y: -4.209	p[578].z: -5.308
p[578].vx: -68.691	p[578].vy: -59.374	p[578].vz: -75.004

p[579].x: 0.471	p[579].y: 4.228	p[579].z: -1.843
p[579].vx: 7.448	p[579].vy: 63.134	p[579].vz: -26.443

p[580].x: -2.475	p[580].y: -2.480	p[580].z: 2.134
p[580].vx: -36.734	p[580].vy: -34.417	p[580].vz: 39.460

p[581].x: -5.594	p[581].y: 5.758	p[581].z: -1.295
p[581].vx: -80.646	p[581].vy: 82.377	p[581].vz: -19.721

p[582].x: -4.491	p[582].y: -2.063	p[582].z: -4.850
p[582].vx: -63.182	p[582].vy: -29.344	p[582].vz: -71.136

p[583].x: -5.518	p[583].y: 0.518	p[583].z: 1.644
p[583].vx: -88.177	p[583].vy: 10.678	p[583].vz: 28.290

p[584].x: -1.419	p[584].y: 4.346	p[584].z: -3.187
p[584].vx: -19.846	p[584].vy: 62.435	p[584].vz: -45.904

p[585].x: -7.701	p[585].y: -3.814	p[585].z: 1.431
p[585].vx: -109.093	p[585].vy: -54.623	p[585].vz: 20.065

p[586].x: 1.473	p[586].y: 2.363	p[586].z: -1.307
p[586].vx: 22.259	p[586].vy: 40.884	p[586].vz: -22.144

p[587].x: 3.016	p[587].y: 3.102	p[587].z: -2.596
p[587].vx: 44.199	p[587].vy: 45.047	p[587].vz: -37.817

p[588].x: -3.325	p[588].y: -2.823	p[588].z: 1.908
p[588].vx: -50.443	p[588].vy: -48.458	p[588].vz: 33.639

p[589].x: -7.311	p[589].y: -0.191	p[589].z: 6.325
p[589].vx: -104.000	p[589].vy: -2.160	p[589].vz: 90.196

p[590].x: 3.442	p[590].y: 5.514	p[590].z: 5.199
p[590].vx: 49.108	p[590].vy: 78.142	p[590].vz: 74.822

p[591].x: 1.127	p[591].y: 6.128	p[591].z: 1.183
p[591].vx: 17.081	p[591].vy: 85.370	p[591].vz: 16.689

p[592].x: -7.398	p[592].y: 1.821	p[592].z: 4.323
p[592].vx: -104.569	p[592].vy: 26.968	p[592].vz: 62.726

p[593].x: 1.175	p[593].y: 3.039	p[593].z: -8.614
p[593].vx: 17.330	p[593].vy: 42.548	p[593].vz: -124.222

p[594].x: 0.351	p[594].y: -5.080	p[594].z: 9.218
p[594].vx: 5.615	p[594].vy: -70.981	p[594].vz: 132.462

p[595].x: 4.270	p[595].y: 5.728	p[595].z: 1.428
p[595].vx: 62.822	p[595].vy: 80.305	p[595].vz: 19.746

p[596].x: -4.263	p[596].y: -1.754	p[596].z: -1.187
p[596].vx: -67.179	p[596].vy: -27.797	p[596].vz: -20.584

p[597].x: -1.768	p[597].y: 4.390	p[597].z: 4.476
p[597].vx: -17.669	p[597].vy: 41.780	p[597].vz: 49.027

p[598].x: -3.366	p[598].y: -0.087	p[598].z: -4.469
p[598].vx: -46.495	p[598].vy: -0.391	p[598].vz: -64.085

p[599].x: 4.529	p[599].y: 2.425	p[599].z: -0.738
p[599].vx: 63.400	p[599].vy: 35.513	p[599].vz: -11.135

p[600].x: -3.182	p[600].y: -0.489	p[600].z: 3.033
p[600].vx: -44.388	p[600].vy: -8.708	p[600].vz: 46.490

p[601].x: -0.442	p[601].y: -0.948	p[601].z: -1.991
p[601].vx: -9.070	p[601].vy: 0.930	p[601].vz: -5.535

p[602].x: -4.668	p[602].y: 3.352	p[602].z: 0.406
p[602].vx: -64.751	p[602].vy: 48.379	p[602].vz: 7.356

p[603].x: -4.106	p[603].y: -2.753	p[603].z: 4.301
p[603].vx: -57.576	p[603].vy: -38.906	p[603].vz: 59.480

p[604].x: -1.285	p[604].y: -5.480	p[604].z: -3.333
p[604].vx: -17.598	p[604].vy: -79.306	p[604].vz: -46.776

p[605].x: 7.289	p[605].y: 3.271	p[605].z: -1.079
p[605].vx: 103.522	p[605].vy: 46.439	p[605].vz: -16.872

p[606].x: -0.637	p[606].y: 2.239	p[606].z: -1.613
p[606].vx: -11.591	p[606].vy: 44.505	p[606].vz: -17.775

p[607].x: 3.174	p[607].y: 3.085	p[607].z: -1.118
p[607].vx: 43.843	p[607].vy: 41.509	p[607].vz: -15.511

p[608].x: 2.629	p[608].y: -2.649	p[608].z: -2.023
p[608].vx: 41.211	p[608].vy: -39.687	p[608].vz: -26.172

p[609].x: -4.678	p[609].y: 1.162	p[609].z: 2.751
p[609].vx: -69.656	p[609].vy: 19.217	p[609].vz: 38.752

p[610].x: -3.227	p[610].y: -4.136	p[610].z: -2.935
p[610].vx: -45.905	p[610].vy: -60.211	p[610].vz: -42.370

p[611].x: 4.094	p[611].y: -4.164	p[611].z: 1.762
p[611].vx: 61.849	p[611].vy: -59.127	p[611].vz: 22.201

p[612].x: -6.649	p[612].y: 5.189	p[612].z: 0.951
p[612].vx: -92.955	p[612].vy: 73.592	p[612].vz: 14.441

p[613].x: -2.754	p[613].y: 0.909	p[613].z: -2.969
p[613].vx: -37.374	p[613].vy: 13.568	p[613].vz: -41.487

p[614].x: -4.067	p[614].y: 5.250	p[614].z: 4.020
p[614].vx: -56.539	p[614].vy: 75.277	p[614].vz: 56.722

p[615].x: -0.366	p[615].y: -5.946	p[615].z: 4.832
p[615].vx: -6.340	p[615].vy: -84.516	p[615].vz: 67.868

p[616].x: -2.350	p[616].y: -0.675	p[616].z: -0.321
p[616].vx: -37.938	p[616].vy: -11.315	p[616].vz: -12.394

p[617].x: -5.246	p[617].y: -0.348	p[617].z: 6.135
p[617].vx: -74.652	p[617].vy: -4.192	p[617].vz: 88.952

p[618].x: 5.310	p[618].y: 3.409	p[618].z: 2.927
p[618].vx: 74.910	p[618].vy: 47.825	p[618].vz: 41.156

p[619].x: -0.272	p[619].y: -3.574	p[619].z: 1.823
p[619].vx: -1.588	p[619].vy: -52.148	p[619].vz: 24.973

p[620].x: 5.430	p[620].y: 6.891	p[620].z: 4.300
p[620].vx: 77.822	p[620].vy: 98.422	p[620].vz: 61.471

p[621].x: 1.775	p[621].y: -0.954	p[621].z: 1.045
p[621].vx: 7.244	p[621].vy: -24.166	p[621].vz: 23.575

p[622].x: 2.164	p[622].y: -2.863	p[622].z: 1.715
p[622].vx: 34.187	p[622].vy: -50.219	p[622].vz: 28.932

p[623].x: 1.181	p[623].y: 3.447	p[623].z: -5.476
p[623].vx: 15.715	p[623].vy: 48.895	p[623].vz: -77.590

p[624].x: 5.414	p[624].y: 5.461	p[624].z: -1.737
p[624].vx: 78.305	p[624].vy: 76.655	p[624].vz: -26.863

p[625].x: 1.992	p[625].y: -3.013	p[625].z: 3.305
p[625].vx: 33.757	p[625].vy: -50.912	p[625].vz: 53.037

p[626].x: -3.455	p[626].y: -2.973	p[626].z: 1.081
p[626].vx: -49.583	p[626].vy: -43.034	p[626].vz: 19.885

p[627].x: -1.358	p[627].y: -1.636	p[627].z: 1.230
p[627].vx: -14.463	p[627].vy: -30.598	p[627].vz: 31.968

p[628].x: -5.805	p[628].y: 2.148	p[628].z: -3.082
p[628].vx: -82.962	p[628].vy: 31.639	p[628].vz: -46.310

p[629].x: -6.030	p[629].y: 3.748	p[629].z: 1.158
p[629].vx: -86.770	p[629].vy: 54.254	p[629].vz: 14.684

p[630].x: 1.719	p[630].y: -1.781	p[630].z: -0.351
p[630].vx: 27.819	p[630].vy: -30.083	p[630].vz: -6.462

p[631].x: -0.334	p[631].y: -5.179	p[631].z: 4.647
p[631].vx: -2.667	p[631].vy: -75.348	p[631].vz: 68.337

p[632].x: 4.933	p[632].y: -0.010	p[632].z: 4.466
p[632].vx: 71.951	p[632].vy: 0.836	p[632].vz: 62.989

p[633].x: -6.027	p[633].y: 2.055	p[633].z: 3.749
p[633].vx: -83.144	p[633].vy: 28.517	p[633].vz: 52.877

p[634].x: -0.329	p[634].y: -4.665	p[634].z: 0.545
p[634].vx: -4.187	p[634].vy: -62.880	p[634].vz: 5.820

p[635].x: -2.399	p[635].y: 1.874	p[635].z: 2.881
p[635].vx: -39.366	p[635].vy: 29.450	p[635].vz: 45.014

p[636].x: 1.938	p[636].y: -2.329	p[636].z: -2.248
p[636].vx: 32.951	p[636].vy: -44.385	p[636].vz: -35.070

p[637].x: 3.688	p[637].y: 8.942	p[637].z: 2.408
p[637].vx: 52.362	p[637].vy: 127.263	p[637].vz: 34.219

p[638].x: -5.037	p[638].y: 4.518	p[638].z: 2.446
p[638].vx: -64.420	p[638].vy: 59.807	p[638].vz: 19.468

p[639].x: -1.558	p[639].y: 2.450	p[639].z: -0.092
p[639].vx: -32.021	p[639].vy: 32.169	p[639].vz: -0.724

p[640].x: 1.698	p[640].y: 0.384	p[640].z: 1.439
p[640].vx: 21.158	p[640].vy: 5.608	p[640].vz: 17.086

p[641].x: 4.709	p[641].y: -1.430	p[641].z: 0.374
p[641].vx: 66.741	p[641].vy: -18.894	p[641].vz: 6.072

p[642].x: 5.678	p[642].y: 5.983	p[642].z: -2.577
p[642].vx: 80.512	p[642].vy: 85.606	p[642].vz: -35.584

p[643].x: -8.586	p[643].y: -2.587	p[643].z: 1.065
p[643].vx: -122.021	p[643].vy: -36.143	p[643].vz: 16.845

p[644].x: -6.425	p[644].y: 1.211	p[644].z: -4.822
p[644].vx: -91.534	p[644].vy: 17.868	p[644].vz: -69.231

p[645].x: -4.907	p[645].y: -4.124	p[645].z: 1.614
p[645].vx: -70.134	p[645].vy: -60.486	p[645].vz: 23.352

p[646].x: 4.097	p[646].y: -7.278	p[646].z: -2.017
p[646].vx: 56.754	p[646].vy: -101.488	p[646].vz: -30.033

p[647].x: -0.430	p[647].y: 4.487	p[647].z: -5.095
p[647].vx: -2.722	p[647].vy: 62.605	p[647].vz: -70.695

p[648].x: 3.589	p[648].y: -3.315	p[648].z: 3.571
p[648].vx: 51.531	p[648].vy: -48.821	p[648].vz: 51.191

p[649].x: 3.684	p[649].y: -4.993	p[649].z: -0.566
p[649].vx: 51.830	p[649].vy: -69.422	p[649].vz: -9.692

p[650].x: -1.049	p[650].y: -0.966	p[650].z: -1.486
p[650].vx: -15.824	p[650].vy: -14.249	p[650].vz: -22.598

p[651].x: 4.800	p[651].y: 1.389	p[651].z: -1.049
p[651].vx: 67.105	p[651].vy: 20.570	p[651].vz: -12.200

p[652].x: 1.559	p[652].y: 0.255	p[652].z: 2.965
p[652].vx: 13.519	p[652].vy: -1.202	p[652].vz: 23.462

p[653].x: 2.204	p[653].y: -1.334	p[653].z: 3.254
p[653].vx: 36.777	p[653].vy: -24.523	p[653].vz: 51.093

p[654].x: 3.479	p[654].y: -0.321	p[654].z: 7.755
p[654].vx: 49.925	p[654].vy: -3.027	p[654].vz: 110.691

p[655].x: -0.617	p[655].y: -1.855	p[655].z: -3.106
p[655].vx: -10.973	p[655].vy: -25.157	p[655].vz: -45.404

p[656].x: -6.137	p[656].y: -0.265	p[656].z: 1.087
p[656].vx: -84.113	p[656].vy: -4.496	p[656].vz: 15.708

p[657].x: 3.355	p[657].y: 2.251	p[657].z: 1.987
p[657].vx: 50.009	p[657].vy: 32.389	p[657].vz: 26.100

p[658].x: 1.019	p[658].y: -0.149	p[658].z: -5.459
p[658].vx: 13.853	p[658].vy: -1.805	p[658].vz: -77.967

p[659].x: 4.267	p[659].y: -4.102	p[659].z: 6.845
p[659].vx: 60.696	p[659].vy: -58.486	p[659].vz: 97.544

p[660].x: 2.094	p[660].y: -8.791	p[660].z: -2.688
p[660].vx: 29.634	p[660].vy: -124.504	p[660].vz: -39.603

p[661].x: 2.923	p[661].y: -4.461	p[661].z: -0.624
p[661].vx: 45.345	p[661].vy: -63.812	p[661].vz: -10.741

p[662].x: 3.109	p[662].y: -3.912	p[662].z: 4.858
p[662].vx: 45.003	p[662].vy: -56.005	p[662].vz: 69.389

p[663].x: 5.198	p[663].y: 0.263	p[663].z: 6.107
