Total time: 1.378734s

p[61].vx: -98.234	p[61].vy: -7.921	p[61].vz: -46.966

p[62].x: 0.478	p[62].y: 2.193	p[62].z: -2.677
p[62].vx: 3.039	p[62].vy: 30.132	p[62].vz: -42.012

p[63].x: -3.321	p[63].y: -1.347	p[63].z: 2.951
p[63].vx: -50.683	p[63].vy: -19.279	p[63].vz: 45.022

p[64].x: -1.354	p[64].y: -0.004	p[64].z: -1.061
p[64].vx: -12.319	p[64].vy: 0.181	p[64].vz: -15.926

p[65].x: 6.841	p[65].y: -5.358	p[65].z: -3.807
p[65].vx: 97.662	p[65].vy: -76.275	p[65].vz: -55.117

p[66].x: 4.440	p[66].y: -4.126	p[66].z: 1.415
p[66].vx: 60.918	p[66].vy: -58.042	p[66].vz: 19.697

p[67].x: -3.550	p[67].y: 4.881	p[67].z: 2.553
p[67].vx: -49.336	p[67].vy: 66.501	p[67].vz: 33.470

p[68].x: -0.772	p[68].y: 9.546	p[68].z: -0.574
p[68].vx: -10.509	p[68].vy: 135.764	p[68].vz: -8.389

p[69].x: 1.721	p[69].y: -3.956	p[69].z: 3.110
p[69].vx: 26.444	p[69].vy: -56.826	p[69].vz: 46.356

p[70].x: -0.129	p[70].y: 4.175	p[70].z: -3.626
p[70].vx: -2.635	p[70].vy: 59.841	p[70].vz: -53.655

p[71].x: 0.537	p[71].y: -1.568	p[71].z: 0.058
p[71].vx: -3.981	p[71].vy: -27.229	p[71].vz: -6.451

p[72].x: -3.837	p[72].y: -0.502	p[72].z: 1.690
p[72].vx: -55.599	p[72].vy: -2.404	p[72].vz: 23.993

p[73].x: 3.107	p[73].y: -7.163	p[73].z: -4.106
p[73].vx: 43.593	p[73].vy: -102.283	p[73].vz: -59.415

p[74].x: 2.698	p[74].y: 6.761	p[74].z: 10.478
p[74].vx: 35.421	p[74].vy: 84.210	p[74].vz: 132.483

p[75].x: -0.215	p[75].y: 3.254	p[75].z: 6.510
p[75].vx: -2.989	p[75].vy: 45.575	p[75].vz: 93.932

p[76].x: 2.269	p[76].y: 4.205	p[76].z: -0.427
p[76].vx: 31.515	p[76].vy: 57.831	p[76].vz: -4.646

p[77].x: -0.953	p[77].y: 1.054	p[77].z: -0.928
p[77].vx: -18.710	p[77].vy: 6.113	p[77].vz: -15.402

p[78].x: -2.468	p[78].y: 2.059	p[78].z: 1.593
p[78].vx: -34.689	p[78].vy: 27.861	p[78].vz: 22.852

p[79].x: -5.531	p[79].y: -3.419	p[79].z: 4.684
p[79].vx: -76.655	p[79].vy: -47.440	p[79].vz: 66.249

p[80].x: 8.882	p[80].y: -5.193	p[80].z: -4.123
p[80].vx: 126.735	p[80].vy: -73.843	p[80].vz: -59.568

p[81].x: 7.909	p[81].y: 1.293	p[81].z: -2.271
p[81].vx: 113.022	p[81].vy: 18.428	p[81].vz: -32.810

p[82].x: -2.811	p[82].y: -6.532	p[82].z: -5.079
p[82].vx: -39.348	p[82].vy: -91.661	p[82].vz: -72.977

p[83].x: 2.528	p[83].y: -6.364	p[83].z: -0.924
p[83].vx: 35.618	p[83].vy: -88.183	p[83].vz: -14.253

p[84].x: 2.138	p[84].y: -7.783	p[84].z: -4.721
p[84].vx: 31.246	p[84].vy: -108.391	p[84].vz: -66.968

p[85].x: -2.729	p[85].y: -7.611	p[85].z: 4.748
p[85].vx: -26.492	p[85].vy: -98.680	p[85].vz: 55.128

p[86].x: -2.114	p[86].y: -2.777	p[86].z: 1.146
p[86].vx: -35.037	p[86].vy: -45.132	p[86].vz: 18.917

p[87].x: -2.583	p[87].y: 0.470	p[87].z: -2.554
p[87].vx: -38.467	p[87].vy: 9.053	p[87].vz: -38.757

p[88].x: -2.472	p[88].y: -3.224	p[88].z: 3.077
p[88].vx: -33.898	p[88].vy: -45.756	p[88].vz: 45.045

p[89].x: -0.830	p[89].y: -1.668	p[89].z: -2.779
p[89].vx: -10.490	p[89].vy: -26.853	p[89].vz: -44.503

p[90].x: -1.375	p[90].y: 1.966	p[90].z: -6.188
p[90].vx: -18.159	p[90].vy: 28.376	p[90].vz: -87.473

p[91].x: -2.892	p[91].y: -0.441	p[91].z: -6.024
p[91].vx: -40.858	p[91].vy: -5.995	p[91].vz: -86.917

